Id,Species,SepalLengthCm_0,SepalLengthCm_1,SepalLengthCm_2,SepalLengthCm_3,SepalLengthCm_4,SepalWidthCm_0,SepalWidthCm_1,SepalWidthCm_2,SepalWidthCm_3,SepalWidthCm_4,PetalLengthCm_0,PetalLengthCm_1,PetalLengthCm_2,PetalLengthCm_3,PetalLengthCm_4,PetalWidthCm_0,PetalWidthCm_1,PetalWidthCm_2,PetalWidthCm_3,PetalWidthCm_4
44,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
45,Iris-setosa,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
84,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
18,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
59,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
36,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
54,Iris-versicolor,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
121,Iris-virginica,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
29,Iris-setosa,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
60,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
124,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
32,Iris-setosa,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
91,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
95,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
106,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
139,Iris-virginica,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
94,Iris-versicolor,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
130,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
97,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
119,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
136,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
132,Iris-virginica,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
100,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
2,Iris-setosa,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
70,Iris-versicolor,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
21,Iris-setosa,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
138,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
61,Iris-versicolor,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
50,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
25,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
57,Iris-versicolor,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
113,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
86,Iris-versicolor,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
116,Iris-virginica,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
109,Iris-virginica,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
78,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
127,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
38,Iris-setosa,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
75,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
52,Iris-versicolor,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
112,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
93,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
134,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
11,Iris-setosa,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
125,Iris-virginica,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
81,Iris-versicolor,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
111,Iris-virginica,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
120,Iris-virginica,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
96,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
135,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
142,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
5,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
8,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
149,Iris-virginica,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
131,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
143,Iris-virginica,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
35,Iris-setosa,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
137,Iris-virginica,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
117,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
55,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
7,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
58,Iris-versicolor,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
141,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
63,Iris-versicolor,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
108,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
73,Iris-versicolor,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
123,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
85,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
46,Iris-setosa,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
22,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
30,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
80,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
71,Iris-versicolor,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
103,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
51,Iris-versicolor,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
128,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
47,Iris-setosa,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
129,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
56,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
122,Iris-virginica,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
145,Iris-virginica,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
115,Iris-virginica,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
98,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
31,Iris-setosa,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
146,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
12,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
77,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
147,Iris-virginica,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
